seed,baseline_default,rm_equal,rm_waterfill,gain_rm_equal_pct,gain_rm_waterfill_pct
1,0.345738,0.703064,0.799633,103.35,131.28
2,0.508812,0.732197,0.836388,43.90,64.38
3,0.375923,0.714908,0.735732,90.17,95.71
4,0.215008,0.548730,0.632914,155.21,194.37
5,0.353575,0.561572,0.617491,58.83,74.64
6,0.350249,0.687328,0.820330,96.24,134.21
7,0.372709,0.672855,0.729449,80.53,95.72
8,0.253157,0.547775,0.619538,116.38,144.72
9,0.293187,0.505474,0.620921,72.41,111.78
10,0.254889,0.549041,0.646008,115.40,153.45
11,0.268471,0.561138,0.630100,109.01,134.70
12,0.350764,0.570913,0.664309,62.76,89.39
13,0.327289,0.607820,0.730015,85.71,123.05
14,0.369413,0.611820,0.700946,65.62,89.75
15,0.344036,0.646665,0.684541,87.96,98.97
16,0.346397,0.685956,0.726676,98.03,109.78
17,0.276717,0.567412,0.636510,105.05,130.02
18,0.248325,0.571573,0.677137,130.17,172.68
19,0.431141,0.665494,0.709197,54.36,64.49
20,0.633655,0.824746,0.960606,30.16,51.60

summary,mean,std,median
baseline_default,0.345973,0.093897,0.346067
rm_equal,0.626824,0.079688,0.609820
rm_waterfill,0.708922,0.086913,0.692744
gain_rm_equal_pct,88.06,29.76,89.07
gain_rm_waterfill_pct,113.24,36.29,110.78
