ue_idx,x,y,P_rx_dbm
0,15,30,-91.676110
1,47,25,-76.226750
2,34,2,-80.182730
3,17,18,-79.941307
4,6,17,-89.024294
5,39,2,-93.424877
6,19,1,-92.061228
7,29,12,-90.247799
8,30,12,-82.505404
9,14,42,-82.433060
10,18,44,-80.200766
11,46,40,-77.464983
12,38,23,-83.950295
13,43,33,-84.616052
14,6,33,-87.486373
15,18,23,-87.379568
16,3,20,-90.665645
17,48,48,-83.992264
18,33,22,-84.761068
19,11,42,-87.655261
20,40,19,-89.276421
21,40,12,-84.206504
22,16,42,-80.809628
23,34,28,-85.707789
24,5,29,-84.899272
25,23,47,-88.227139
26,27,4,-87.028502
27,1,39,-87.300976
28,38,10,-87.174625
29,44,18,-88.423317
30,35,41,-84.448710
31,28,23,-80.834730
32,48,8,-89.823749
33,19,25,-80.436861
34,20,37,-87.645929
35,17,45,-87.502787
36,22,4,-94.660271
37,32,35,-95.719787
38,24,39,-83.091955
39,17,19,-90.398132
