name,satnum,intl_des,epoch_utc,incl_deg,raan_deg,ecc,argp_deg,mean_anom_deg,mean_motion_rev_per_day,period_min,sma_km,perigee_km,apogee_km,bstar,source_file,tle_line1,tle_line2
HULIANWANG DIGUI-01,62323,24240A,2025-09-25T06:40:13.590057Z,86.4923,72.6167,0.0001498,105.31800000000001,254.81199999999998,13.244270280000002,108.72626196510993,7545.994506300807,1166.7271163237638,1168.9878962778512,0.00036220999999999996,tles/gw.txt,1 62323U 24240A   25268.27793507  .00000170  00000+0  36221-3 0  9995,2 62323  86.4923  72.6167 0001498 105.3180 254.8120 13.24427028 37576
HULIANWANG DIGUI-02,62324,24240B,2025-09-25T06:51:07.587952Z,86.4952,72.6992,0.0001387,102.4513,257.6776,13.244276569999998,108.72621032860235,7545.9921171274445,1166.808488020799,1168.9017462340898,0.00034221,tles/gw.txt,1 62324U 24240B   25268.28550449  .00000162  00000+0  34221-3 0  9992,2 62324  86.4952  72.6992 0001387 102.4513 257.6776 13.24427657 37587
HULIANWANG DIGUI-03,62325,24240C,2025-09-25T06:29:23.862885Z,86.49060000000001,72.5659,0.0001566,104.55940000000001,255.5714,13.24422954,108.72659641324822,7546.00998089713,1166.6912757341224,1169.054686060138,0.00037052000000000005,tles/gw.txt,1 62325U 24240C   25268.27041508  .00000174  00000+0  37052-3 0  9991,2 62325  86.4906  72.5659 0001566 104.5594 255.5714 13.24422954 37570
HULIANWANG DIGUI-04,62326,24240D,2025-09-25T06:18:31.499695Z,86.4914,72.5857,0.0001536,104.6717,255.4587,13.24422659,108.72662063085406,7546.011101422034,1166.7150341168563,1169.033168727212,0.00039219,tles/gw.txt,1 62326U 24240D   25268.26286458  .00000183  00000+0  39219-3 0  9993,2 62326  86.4914  72.5857 0001536 104.6717 255.4587 13.24422659 37574
HULIANWANG DIGUI-05,62327,24240E,2025-09-25T07:56:26.737732Z,86.4966,72.7017,0.0001539,103.1473,256.98330000000004,13.24422315,108.72664887105893,7546.012408068551,1166.714076758949,1169.0367393781526,0.00038819,tles/gw.txt,1 62327U 24240E   25268.33086502  .00000181  00000+0  38819-3 0  9993,2 62327  86.4966  72.7017 0001539 103.1473 256.9833 13.24422315 37588
HULIANWANG DIGUI-06,62328,24240F,2025-09-25T07:34:41.418640Z,86.4904,72.5218,0.0001435,103.3092,256.8202,13.244225550000001,108.72662916858886,7546.011496454642,1166.7916438049015,1168.9573491043839,0.00036457,tles/gw.txt,1 62328U 24240F   25268.31575716  .00000171  00000+0  36457-3 0  9997,2 62328  86.4904  72.5218 0001435 103.3092 256.8202 13.24422555 37581
HULIANWANG DIGUI-07,62329,24240G,2025-09-25T07:23:47.772369Z,86.4875,72.438,0.000151,100.9664,259.164,13.2442255,108.72662957905692,7546.011515446596,1166.7350677077638,1169.013963185428,0.00028599999999999996,tles/gw.txt,1 62329U 24240G   25268.30819181  .00000137  00000+0  28600-3 0  9997,2 62329  86.4875  72.4380 0001510 100.9664 259.1640 13.24422550 37587
HULIANWANG DIGUI-08,62330,24240H,2025-09-25T07:45:33.376587Z,86.4957,72.6747,0.000155,104.2905,255.8401,13.2442252,108.7266320418653,7546.01162939832,1166.7049975957634,1169.0442612008765,0.00029333,tles/gw.txt,1 62330U 24240H   25268.32330297  .00000141  00000+0  29333-3 0  9996,2 62330  86.4957  72.6747 0001550 104.2905 255.8401 13.24422520 37583
HULIANWANG DIGUI-09,62331,24240J,2025-09-25T07:12:53.963715Z,86.4924,72.6304,0.0001479,103.60080000000002,256.5291,13.24428166,108.72616854329266,7545.9901837596035,1166.7371318114256,1168.969235707782,0.00030982,tles/gw.txt,1 62331U 24240J   25268.30062458  .00000148  00000+0  30982-3 0  9995,2 62331  86.4924  72.6304 0001479 103.6008 256.5291 13.24428166 37570
HULIANWANG DIGUI-10,62332,24240K,2025-09-25T07:02:01.535706Z,86.4954,72.7085,0.0001385,105.0197,255.1091,13.244283809999999,108.72615089331887,7545.989367111478,1166.8072475841327,1168.8974866388235,0.00032629999999999996,tles/gw.txt,1 62332U 24240K   25268.29307333  .00000155  00000+0  32630-3 0  9998,2 62332  86.4954  72.7085 0001385 105.0197 255.1091 13.24428381 37574
HULIANWANG DIGUI-11,62971,25030A,2025-09-25T05:28:54.477112Z,49.9997,106.1743,0.0001286,83.2605,276.8413,13.29331168,108.32515137416833,7527.4240623668475,1148.3190356324267,1150.2550891012688,9.7082e-05,tles/gw.txt,1 62971U 25030A   25268.22840830 -.00000079  00000+0  97082-4 0  9991,2 62971  49.9997 106.1743 0001286  83.2605 276.8413 13.29331168 30615
HULIANWANG DIGUI-12,62972,25030B,2025-09-25T05:40:55.339996Z,50.0012,106.2457,0.0001303,77.4622,282.6395,13.293317709999998,108.3251022366485,7527.4217860166045,1148.303962957887,1150.2656090753226,9.880600000000002e-05,tles/gw.txt,1 62972U 25030B   25268.23675162 -.00000078  00000+0  98806-4 0  9991,2 62972  50.0012 106.2457 0001303  77.4622 282.6395 13.29331771 30618
HULIANWANG DIGUI-13,62973,25030C,2025-09-25T07:05:11.124115Z,50.0016,105.89690000000002,0.000115,78.0851,282.0151,13.29330526,108.32520368978572,7527.426485945616,1148.4238318997332,1150.1551399915006,7.309700000000001e-05,tles/gw.txt,1 62973U 25030C   25268.29526764 -.00000090  00000+0  73097-4 0  9990,2 62973  50.0016 105.8969 0001150  78.0851 282.0151 13.29330526 30629
HULIANWANG DIGUI-14,62974,25030D,2025-09-25T06:29:02.764893Z,50.0022,105.7782,0.0001217,78.2847,281.8161,13.29331747,108.32510419236982,7527.421876617575,1148.3687893751912,1150.2009638599602,7.818000000000001e-05,tles/gw.txt,1 62974U 25030D   25268.27017089 -.00000088  00000+0  78180-4 0  9999,2 62974  50.0022 105.7782 0001217  78.2847 281.8161 13.29331747 30624
HULIANWANG DIGUI-15,62975,25030E,2025-09-25T06:53:07.595825Z,50.0011,105.8554,0.0001236,82.344,277.7573,13.293311429999997,108.32515341137993,7527.424156742933,1148.3567671171595,1150.2175463687063,7.7342e-05,tles/gw.txt,1 62975U 25030E   25268.28689347 -.00000088  00000+0  77342-4 0  9992,2 62975  50.0011 105.8554 0001236  82.3440 277.7573 13.29331143 30628
HULIANWANG DIGUI-16,62976,25030F,2025-09-25T00:52:16.891968Z,50.0037,106.5759,0.0001201,76.9678,283.1328,13.29331152,108.32515267798374,7527.424122767541,1148.3830791303972,1150.1911664046856,8.091600000000001e-05,tles/gw.txt,1 62976U 25030F   25268.03630662 -.00000087  00000+0  80916-4 0  9992,2 62976  50.0037 106.5759 0001201  76.9678 283.1328 13.29331152 30591
HULIANWANG DIGUI-17,62977,25030G,2025-09-25T06:05:00.612366Z,50.0045,105.7469,0.0001174,81.4441,278.6564,13.2933141,108.3251316539643,7527.42314880651,1148.4024293288394,1150.1698682841798,9.4504e-05,tles/gw.txt,1 62977U 25030G   25268.25347931 -.00000080  00000+0  94504-4 0  9992,2 62977  50.0045 105.7469 0001174  81.4441 278.6564 13.29331410 30620
